REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP100;Striped Fouta;Olive Green Heather;One Size;96244;96243;1977;;SP100_96244_96243;3663639149631
SP120;Fouta;Cedar Brown Heather;One Size;96246;96245;1887;;SP120_96246_96245;3663639149648
SP121;Honeycomb striped plaid;Pampa Beige;One Size;96248;96247;1927;;SP121_96248_96247;3663639149655
SP122;Linen shopping bag;Black;One Size;91631;91630;1837;;SP122_91631_91630;3663938365367
SP122;Linen shopping bag;Ivory;One Size;91632;91630;1714;;SP122_91632_91630;3663938365374
SP122;Linen shopping bag;Jade Green;One Size;91633;91630;0;;SP122_91633_91630;3663938365381
SP122;Linen shopping bag;Petal Rose;One Size;91634;91630;198;;SP122_91634_91630;3663938365398
SP122;Linen shopping bag;Pineapple;One Size;91635;91630;298;;SP122_91635_91630;3663938365404
SP122;Linen shopping bag;Wet Sand;One Size;91636;91630;1128;;SP122_91636_91630;3663938365411
SP132;Jute shopping bag;Natural;One Size;91638;91637;187;;SP132_91638_91637;3663938365428
SP140;Unisex scarf;Grey Circles;One Size;93568;93567;44;;SP140_93568_93567;3663639146159
SP141;Unisex scarf;Marine Twill Stripes;One Size;93570;93569;0;;SP141_93570_93569;3663639146166
SP142;Unisex reversible scarf;Blue Stripes / Brown Herringbone;One Size;93572;93571;0;;SP142_93572_93571;3663639146173
SP143;Unisex reversible scarf;Blue Patchwork / Blue Checkerboard;One Size;93574;93573;18;;SP143_93574_93573;3663639146180
SP144;Unisex reversible scarf;Brown Patchwork / Brown Checkboard;One Size;93576;93575;0;;SP144_93576_93575;3663639146197
SP145;Unisex scarf;White Floral Blue;One Size;93578;93577;0;;SP145_93578_93577;3663639146203
SP146;Unisex scarf;Blue Double Stripes;One Size;93794;93793;0;;SP146_93794_93793;3663639146210
SP147;Unisex scarf;Brown Classic Checks;One Size;93834;93833;39;;SP147_93834_93833;3663639146227
SP148;Unisex scarf;Sand Medallion;One Size;93853;93852;7;;SP148_93853_93852;3663639146234
SP149;Unisex scarf;Greenish Shadow Checks;One Size;93864;93863;26;;SP149_93864_93863;3663639146241
SP150;Unisex scarf;Blue Classic Checks;One Size;93905;93904;49;;SP150_93905_93904;3663639146258
SP151;Unisex scarf;Urban Grey Stripes;One Size;93925;93924;0;;SP151_93925_93924;3663639146265
SP152;Unisex scarf;Blue Checks;One Size;93936;93935;0;;SP152_93936_93935;3663639146272
SP153;Unisex scarf;Green Sunburst;One Size;93938;93937;32;;SP153_93938_93937;3663639146289
SP154;Unisex scarf;Olive Crosschecks Marine;One Size;93940;93939;0;;SP154_93940_93939;3663639146296
SP155;Unisex scarf;Graphite Ink Stripes;One Size;93942;93941;0;;SP155_93942_93941;3663639146302
